ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
1280,0,0,0,0,0,0.198811400871216
1369,0,0,0,0,0,0.187020711841858
1370,0,0,0,0,0,0
1456,0,0,0,0,0,0.653340721587198
1457,0,0,0,0,0,0.187020711841858
1458,0,0,0,0,0,0.187020711841858
1459,0,0,0,0,0,0
1460,0,0,0,0,0,14.7634367351608
1546,0,0,0,0,0,8.96483341201574
1547,0,0,0,0,0,0
1548,0,0,0,0,0,0
1549,0,0,0,0,0,0
1550,0,0,0,0,0,14.7634367351608
1636,0,0,0,0,0,8.96483341201574
1637,0,0,0,0,0,7.28231266714479
1638,0,0,0,0,0,14.5646253342896
1639,0,0,0,0,0,14.5646253342896
1640,0,0,0,0,0,7.481124068016
1726,0,0,0,0,0,0.375839301696553
1727,0,0,0,0,0,7.65815196884134
1728,0,0,0,0,0,0
1729,1.11,0.15,0.045,0.045,0.150625,21.8469380014344
1730,0,0,0,0,0,21.8469380014344
1731,0,0,0,0,0,7.28231266714479
1732,0,0,0,0,0,0.85241497012111
1816,0,0,0,0,0,0.375839301696553
1817,0,0,0,0,0,7.65815196884134
1818,0,0,0,0,0.0162889085498541,14.5646253342896
1819,0,0,0,0,0,14.5646253342896
1820,0,0,0,0,0,21.8469380014344
1821,0,0,0,0,0,21.8469380014344
1822,0,0,0,0,0,0
1907,0,0,0,0,0,0.375839301696553
1908,0,0,0,0,0.00205644217894297,0
1909,0,0,0,0,0,21.8469380014344
1910,0,0,0,0,0,43.8669031246396
1911,0,0,0,0,0,7.45533978891562
1912,0,0,0,0,0,0.85241497012111
1997,0,0,0,0,0,0
1998,0,0,0,0,0,7.28231266714479
1999,0,0,0,0,0,7.28231266714479
2000,0,0,0,0,0,0.173027121770834
2088,0,0,0,0,0,7.28231266714479
2089,0,0,0,0,0,14.5646253342896
2090,0,0,0,0,0,0
2178,0,0,0,0,0,0.484953937672972
2179,0,0,0,0,0,7.28231266714479
2180,0,0,0,0,0,7.28231266714479
2181,0,0,0,0,0,7.70852015220534
2269,0,0,0,0,0,0.138093590788584
2270,0,0,0,0,0,0
2271,0,0,0,0,0,0
