ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
1038,0,0,0,0,0,0
1127,0,0,0,0,0,0
1128,0,0,0,0,0,0
1129,0,0,0,0,0,0
1217,0,0,0,0,0,0
1218,0,0,0,0,0,0
1219,0,0,0,0,0,0
1307,0,0,0,0,0,0
1308,0,0,0,0,0,0
1309,0,0,0,0,0,0
1310,0,0,0,0,0,0
1397,0,0,0,0,0,0
1398,0,0,0,0,0,0
1399,0,0,0,0,0,0
1487,0,0,0,0,0,0
1488,0,0,0,0,0,0
1577,0,0,0,0,0,0
1578,0,0,0,0,0,0
1666,0,0,0,0,0,0
1667,0,0,0,0,0,0
1668,0,0,0,0,0,0
1669,0,0,0,0,0,0
1755,0,0,0,0,0,0
1756,0,0,0,0,0,0
1757,0,0,0,0,0,0
1758,0,0,0,0,0,0
1759,5.12383025489173,2.55212634389133,0.303832423783299,0.247352022153385,0.432969743525794,0.304040907674691
1760,0,0,0,0,0,0
1846,0,0,0,0,0,0
1847,0,0,0,0,2.32116693679092,0
1848,0,0,0,0,0,0
1849,0,0,0,0,0,0
1850,0,0,0,0,0,0
1851,0,0,0,0,0,0
1935,0,0,0,0,0,0
1936,0,0,0,0,0,0
1937,2.11179497394801,0.00326864572933964,0.095311211139598,0.095311211139598,2.63791328154362,0.000749498383797625
1938,23.2535455101554,11.0514770436598,1.36020683049379,1.11679531867707,4.35535871041162,1.30999596998187
1939,0,0,0,0,0,0
1940,0,0,0,0,0,0
1941,0,0,0,0,0,0
2026,0,0,0,0,0,0
2027,0,0,0,0,0,0
2028,3.39309219453797,0.00525184331232585,0.153139736839667,0.153139736839667,0.508927032826277,0.00120424432639319
2029,0,0,0,0,0,0
2030,0,0,0,0,0,0
2031,0,0,0,0,0,0
2117,0,0,0,0,0,0
