ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
1,0,0,0,0,0,0
2,7.85453694019174,0.578612118878598,0.421329150134936,0.421329150134936,1.08642314306594,0.00209509035541543
3,0,0,0,0,0,0
4,8.43097084348717,0.621075684168175,0.452249929861831,0.452249929861831,1.16615427651869,0.00224884621913147
5,13.6924746619097,1.00866949091281,0.734484891531458,0.734484891531458,1.89391449449081,0.00365228043669203
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0,0,0,0,0,0
11,0,0,0,0,0,0
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,3.26198734655509,0.240297477078177,0.174977897098212,0.174977897098212,0.45119127615933,0.000870090532553776
17,10.8296549177151,0.797777084298772,0.580918943723773,0.580918943723773,1.49793524731152,0.00288866240535223
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,9.64152856264458,0.710252598382219,0.517186062810927,0.517186062810927,1.33359609162812,0.00257174594210591
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,6.933533533164,0.510765505272663,0.371925145072748,0.371925145072748,0.959031875591286,0.00184942528692554
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0.563403943309402,0.0415037005879627,0.0302218331169282,0.0302218331169282,0.0779288566043721,0.000150280300012407
37,0.814522895326892,0.060002622933583,0.0436922306008213,0.0436922306008213,0.112663105511935,0.000217262847607509
38,5.36989405618905,0.395578479248872,0.288049176703413,0.288049176703413,0.742752529255226,0.00143234583176455
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0.143130529378233,0.0105438499443524,0.00767773641660691,0.00767773641660691,0.0197975158535566,3.81781120833993e-05
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,5.30226688294771,0.390596657621334,0.284421553630944,0.284421553630944,0.733398479911647,0.0014143072077819
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,0,0,0,0,0,0
64,0,0,0,0,0,0
65,0,0,0,0,0,0
66,0,0,0,0,0,0
67,0,0,0,0,0,0
68,19.9905666004131,1.47262457180148,1.07232399574943,1.07232399574943,2.76505341601457,0.005332210364879
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,40.2018242309124,2.96150656342388,2.1564861895819,2.1564861895819,5.56063235433279,0.0107232870451348
73,5.69799394118611,0.419748277049497,0.305648946970941,0.305648946970941,0.788134620015294,0.00151986199088436
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,0,0,0,0,0,0
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,2.16708281881143,0.159640267927402,0.116245574917311,0.116245574917311,0.299746368910684,0.000578039717382433
94,0.697941674623136,0.0514145536881912,0.037438638948656,0.037438638948656,0.0965378345782231,0.000186166400677687
95,0,0,0,0,0,0
96,43.1254133068841,3.17687560209022,2.31331189555317,2.31331189555317,5.96501708854895,0.011503114464995
97,0.20065910606783,0.014781748614624,0.010763655613329,0.010763655613329,0.0277547484159763,5.35230734860776e-05
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,0,0,0,0,0,0
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,0,0,0,0,0,0
123,0,0,0,0,0,0
124,0,0,0,0,0,0
125,4.73016881204346,0.348452495650636,0.253733354461046,0.253733354461046,0.654267069738587,0.00126170786808435
126,0,0,0,0,0,0
127,0,0,0,0,0,0
128,0,0,0,0,0,0
129,0,0,0,0,0,0
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
134,0,0,0,0,0,0
135,0,0,0,0,0,0
136,3.80368376718684,0.28020207185153,0.204035306118474,0.204035306118474,0.526117593569449,0.0010145806476389
137,0,0,0,0,0,0
138,0,0,0,0,0,0
139,0,0,0,0,0,0
140,0,0,0,0,0,0
141,0,0,0,0,0,0
142,0,0,0,0,0,0
143,0,0,0,0,0,0
144,0,0,0,0,0,0
145,0,0,0,0,0,0
146,0,0,0,0,0,0
147,8.35409019710985,0.615412196423467,0.448125936602059,0.448125936602059,1.15552030609953,0.00222833935768697
148,0,0,0,0,0,0
149,0,0,0,0,0,0
150,0,0,0,0,0,0
151,0,0,0,0,0,0
152,0,0,0,0,0,0
153,3.16505561649137,0.233156906711546,0.169778333615369,0.169778333615369,0.43778388172723,0.000844235318638993
154,0,0,0,0,0,0
155,0,0,0,0,0,0
156,0,0,0,0,0,0
157,0,0,0,0,0,0
158,15.9911703607173,1.17800514991752,0.857790378865994,0.857790378865994,2.21186528205052,0.00426542609063421
159,0,0,0,0,0,0
160,0,0,0,0,0,0
161,0,0,0,0,0,0
162,0,0,0,0,0,0
163,0,0,0,0,0,0
164,0,0,0,0,0,0
165,0,0,0,0,0,0
166,0,0,0,0,0,0
167,0,0,0,0,0,0
168,0,0,0,0,0,0
169,0,0,0,0,0,0
170,0,0,0,0,0,0
171,0,0,0,0,0,0
172,1.61107149847923,0.118681152116044,0.0864202931922682,0.0864202931922682,0.22284004447486,0.000429731298490286
173,2.98378617658191,0.219803516752012,0.160054768796204,0.160054768796204,0.412711071433282,0.000795884173539332
174,23.4695829404507,1.72890970120508,1.25894365379102,1.25894365379102,3.24626368922377,0.00626019041460647
175,2.73448305862862,0.201438359592477,0.14668177537685,0.14668177537685,0.378227984900578,0.000729385974857974
176,0,0,0,0,0,0
177,0,0,0,0,0,0
178,0,0,0,0,0,0
179,0,0,0,0,0,0
180,0,0,0,0,0,0
181,0,0,0,0,0,0
182,0,0,0,0,0,0
183,0,0,0,0,0,0
184,0,0,0,0,0,0
185,0,0,0,0,0,0
186,0,0,0,0,0,0
187,0,0,0,0,0,0
188,0,0,0,0,0,0
189,0,0,0,0,0,0
190,0,0,0,0,0,0
191,0,0,0,0,0,0
192,0,0,0,0,0,0
193,0,0,0,0,0,0
194,0,0,0,0,0,0
195,0,0,0,0,0,0
196,0,0,0,0,0,0
197,0,0,0,0,0,0
198,0,0,0,0,0,0
199,0,0,0,0,0,0
200,0,0,0,0,0,0
201,0,0,0,0,0,0
202,0,0,0,0,0,0
203,0,0,0,0,0,0
204,0,0,0,0,0,0
205,0,0,0,0,0,0
206,0,0,0,0,0,0
207,0,0,0,0,0,0
208,0,0,0,0,0,0
209,0,0,0,0,0,0
210,0,0,0,0,0,0
211,0,0,0,0,0,0
212,0,0,0,0,0,0
213,2.42796122252007,0.178858129793596,0.130239484037615,0.130239484037615,0.335830524790693,0.000647625465302132
214,0,0,0,0,0,0
215,0,0,0,0,0,0
216,0,0,0,0,0,0
217,0,0,0,0,0,0
218,0,0,0,0,0,0
219,0,0,0,0,0,0
220,0,0,0,0,0,0
221,0,0,0,0,0,0
222,0,0,0,0,0,0
223,0,0,0,0,0,0
224,3.47554179841383,0.256029173908535,0.186433278414042,0.186433278414042,0.480729681869397,0.000927053263247148
225,0,0,0,0,0,0
226,0,0,0,0,0,0
227,0,0,0,0,0,0
228,0,0,0,0,0,0
229,0,0,0,0,0,0
230,0,0,0,0,0,0
231,0.30450075899522,0.0224313451835475,0.0163338777294957,0.0163338777294957,0.0421179089451804,8.12214148644632e-05
232,0,0,0,0,0,0
