ID,NOx,SO2,PM10,PM2.5,NMVOC,NH3
1,0,0,0,0,0,0
2,0,0,0,0,0,0
3,0,0,0,0,0,0
4,0,0,0,0,0,0
5,0,0,0,0,0,0
6,0,0,0,0,0,0
7,0,0,0,0,0,0
8,0,0,0,0,0,0
9,0,0,0,0,0,0
10,0.705716190265711,0.00630527260602326,0.0182910752112344,0.0169027583071559,0.0220279615447124,0.000358648533553616
11,5.13505843315815,0.0458795528790831,0.133092794682258,0.122990874782276,0.160283795746375,0.00260966264082858
12,0,0,0,0,0,0
13,0,0,0,0,0,0
14,0,0,0,0,0,0
15,0,0,0,0,0,0
16,0,0,0,0,0,0
17,0,0,0,0,0,0
18,0,0,0,0,0,0
19,0,0,0,0,0,0
20,0,0,0,0,0,0
21,0,0,0,0,0,0
22,0,0,0,0,0,0
23,0,0,0,0,0,0
24,0,0,0,0,0,0
25,0,0,0,0,0,0
26,0,0,0,0,0,0
27,0,0,0,0,0,0
28,0,0,0,0,0,0
29,0,0,0,0,0,0
30,0,0,0,0,0,0
31,0,0,0,0,0,0
32,0,0,0,0,0,0
33,0,0,0,0,0,0
34,0,0,0,0,0,0
35,0,0,0,0,0,0
36,0,0,0,0,0,0
37,0,0,0,0,0,0
38,0,0,0,0,0,0
39,0,0,0,0,0,0
40,0,0,0,0,0,0
41,0,0,0,0,0,0
42,0,0,0,0,0,0
43,0,0,0,0,0,0
44,0,0,0,0,0,0
45,0,0,0,0,0,0
46,0,0,0,0,0,0
47,0,0,0,0,0,0
48,0,0,0,0,0,0
49,0,0,0,0,0,0
50,0,0,0,0,0,0
51,0,0,0,0,0,0
52,0,0,0,0,0,0
53,0,0,0,0,0,0
54,0,0,0,0,0,0
55,0,0,0,0,0,0
56,0,0,0,0,0,0
57,0,0,0,0,0,0
58,0,0,0,0,0,0
59,0,0,0,0,0,0
60,0,0,0,0,0,0
61,0,0,0,0,0,0
62,0,0,0,0,0,0
63,5.39906291521519,0.0482383201165966,0.139935383677687,0.129314102184124,0.168524333031193,0.00274383105250366
64,2.12434663934499,0.0189801294847951,0.0550597884687359,0.050880677389515,0.0663085624569723,0.00107960369546541
65,5.56702700520074,0.0497390074892114,0.144288753835676,0.133337045764657,0.173767101393502,0.00282919125167991
66,6.11405988626651,0.0546265125332423,0.158467002412947,0.146439146442325,0.190841981400538,0.00310719612574406
67,5.66411372639916,0.0506064358577607,0.146805091910311,0.135662390437043,0.176797530042525,0.00287853121392767
68,5.22120473886816,0.0466492333101059,0.135325574061059,0.125054183240486,0.162972734353104,0.00265344262864822
69,0,0,0,0,0,0
70,0,0,0,0,0,0
71,0,0,0,0,0,0
72,0,0,0,0,0,0
73,0,0,0,0,0,0
74,0,0,0,0,0,0
75,0,0,0,0,0,0
76,0,0,0,0,0,0
77,0,0,0,0,0,0
78,0,0,0,0,0,0
79,0,0,0,0,0,0
80,4.069181006111,0.0363563935200659,0.105466895697659,0.0974618182253508,0.127013895893955,0.00206797834701292
81,0,0,0,0,0,0
82,0,0,0,0,0,0
83,0,0,0,0,0,0
84,0,0,0,0,0,0
85,0,0,0,0,0,0
86,0,0,0,0,0,0
87,0,0,0,0,0,0
88,0,0,0,0,0,0
89,0,0,0,0,0,0
90,0,0,0,0,0,0
91,0,0,0,0,0,0
92,0,0,0,0,0,0
93,0,0,0,0,0,0
94,0,0,0,0,0,0
95,0,0,0,0,0,0
96,0,0,0,0,0,0
97,0,0,0,0,0,0
98,0,0,0,0,0,0
99,0,0,0,0,0,0
100,0,0,0,0,0,0
101,0,0,0,0,0,0
102,0,0,0,0,0,0
103,0,0,0,0,0,0
104,0,0,0,0,0,0
105,0,0,0,0,0,0
106,0,0,0,0,0,0
107,0,0,0,0,0,0
108,0,0,0,0,0,0
109,0,0,0,0,0,0
110,0,0,0,0,0,0
111,0,0,0,0,0,0
112,0,0,0,0,0,0
113,4.08203985461508,0.036471281836837,0.105800177218421,0.0977698032359979,0.127415267187775,0.00207451327879256
114,0,0,0,0,0,0
115,0,0,0,0,0,0
116,0,0,0,0,0,0
117,0,0,0,0,0,0
118,0,0,0,0,0,0
119,0,0,0,0,0,0
120,0,0,0,0,0,0
121,0,0,0,0,0,0
122,3.12226250178624,0.0278960813041771,0.080924228517255,0.0747819720833078,0.0974571354186297,0.00158674957876971
123,3.27916970468806,0.0292979801153296,0.0849910212152956,0.0785400898137552,0.102354778237775,0.00166649061206462
124,0,0,0,0,0,0
125,0,0,0,0,0,0
126,0,0,0,0,0,0
127,0.563940643101896,0.00503856867310175,0.0146164716920621,0.0135070620759663,0.0176026325753867,0.000286597484158081
128,5.23089588199306,0.0467358195328812,0.135576753544009,0.125286297867045,0.163275230074506,0.0026583677165492
129,1.40643340819205,0.0125658815302655,0.0364525847694492,0.0336857851664549,0.0438998870341753,0.000714756564106846
130,0,0,0,0,0,0
131,0,0,0,0,0,0
132,0,0,0,0,0,0
133,0,0,0,0,0,0
